Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,7.029174753370171e-07,6.706055160066171e-07,7.435101565533841e-07,6.706055160066171e-07,6.706055160066171e-07
7.002537927291996e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,7.19052252406982e-07,6.706055160066171e-07,7.207207204373844e-07,6.737469107065408e-07
6.706055160066171e-07,1.2309715202718507e-06,7.394631893475889e-07,8.533673963029287e-07,6.706055160066171e-07,1.1433664894866524e-06,7.433361020048324e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07
7.128635957087681e-07,7.740513296994322e-07,7.001797825978429e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,7.15341684554005e-07
6.706055160066171e-07,6.706055160066171e-07,7.107380497473059e-07,1.2600557965924963e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.76814579492202e-07,1.1132588042528369e-06,9.518085448689817e-07
6.973295398893242e-07,6.759090638297494e-07,6.706055160066171e-07,6.706055160066171e-07,7.442815785907442e-07,6.706055160066171e-07,7.300574793589476e-07,6.706055160066171e-07,7.499748448935861e-07,6.706055160066171e-07
6.706055160066171e-07,7.934660857245035e-07,6.706055160066171e-07,7.521792895204271e-07,8.374000799449277e-07,9.960411944121006e-07,1.1473709946585586e-06,1.8930752503365511e-06,9.726386451802682e-07,6.706055160066171e-07
7.851955956539314e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.2491134384617908e-06,9.548987236485118e-07,1.0047492651210632e-06,1.1584284038690384e-06,8.834225582177169e-07
6.706055160066171e-07,9.999812391470186e-07,6.706055160066171e-07,1.1124927823402686e-06,8.433881930614007e-07,1.24631469589076e-06,1.07072708033229e-06,6.706055160066171e-07,1.0738950777522405e-06,8.072796617852873e-07
6.706055160066171e-07,6.781584147574904e-07,7.529390586569207e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07
7.722870805082493e-07,1.0539204140513903e-06,1.6797141597635346e-06,6.706055160066171e-07,1.1125721357529983e-06,1.0338623042116524e-06,8.18219518805563e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07
6.706055160066171e-07,8.151167207870458e-07,9.501079603069229e-07,6.706055160066171e-07,1.2612176760740113e-06,1.2732932646031259e-06,1.1684055607474875e-06,6.706055160066171e-07,1.1597494449233636e-06,6.706055160066171e-07
6.706055160066171e-07,9.044231319421669e-07,6.706055160066171e-07,6.706055160066171e-07,1.2226352055222378e-06,1.0110614994118805e-06,1.1252950571360998e-06,6.706055160066171e-07,1.387494194204919e-06,6.706055160066171e-07
6.706055160066171e-07,1.3202122772781877e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,8.30188355394057e-07,1.378778506477829e-06,6.706055160066171e-07,1.12123484541371e-06,9.991147180699045e-07
6.706055160066171e-07,1.403364308316668e-06,1.4743361589353299e-06,6.706055160066171e-07,1.0363028195570223e-06,6.706055160066171e-07,6.706055160066171e-07,1.229027930094162e-06,1.3422322808764875e-06,6.706055160066171e-07
1.2570867511385586e-06,6.706055160066171e-07,6.706055160066171e-07,1.0705600743676769e-06,6.706055160066171e-07,1.1735760381270666e-06,6.706055160066171e-07,7.850833867451001e-07,6.706055160066171e-07,1.2616319509106688e-06
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.0424770380268455e-06,1.364533773084986e-06,1.209032348015171e-06,6.706055160066171e-07,7.19594595466333e-07,8.110727662824502e-07
1.2559689821500797e-06,6.706055160066171e-07,1.4408111610464402e-06,6.706055160066171e-07,1.5760668929942767e-06,6.706055160066171e-07,1.2111947853554739e-06,6.706055160066171e-07,6.706055160066171e-07,8.539680607100308e-07
1.5016476027085446e-06,8.033998142309429e-07,8.429013860222767e-07,8.690254844623269e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.2621669611689867e-06,6.706055160066171e-07
7.120438567653764e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.3107387530908454e-06,6.706055160066171e-07,6.706055160066171e-07,1.6142523691087263e-06,1.3523667803383432e-06,6.706055160066171e-07
6.706055160066171e-07,1.106766717384744e-06,6.706055160066171e-07,1.2929667718708515e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.812977630943351e-07,9.787945600692183e-07
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,7.955738965392811e-07,6.706055160066171e-07,6.706055160066171e-07,1.7206343727593776e-06,1.0812274240379338e-06,1.4791809235248365e-06,9.571551800036104e-07
1.063902573150699e-06,6.706055160066171e-07,1.2573231060741819e-06,6.706055160066171e-07,9.73528585745953e-07,1.5580870922349277e-06,6.706055160066171e-07,6.889795827191847e-07,6.706055160066171e-07,1.0532423857512185e-06
6.706055160066171e-07,7.03999319284776e-07,6.706055160066171e-07,6.870226911814825e-07,6.922477950865868e-07,7.488268352062732e-07,6.706055160066171e-07,6.993346346462204e-07,6.706055160066171e-07,6.741834681633918e-07
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.4740867300133687e-06,1.0034183333118563e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.973060635573347e-07,1.0492721003174665e-06
6.706055160066171e-07,1.8647649540071143e-06,6.706055160066171e-07,6.706055160066171e-07,1.0579852869341266e-06,1.2056638070134795e-06,6.706055160066171e-07,1.3795456652587745e-06,6.706055160066171e-07,7.208211627585115e-07
6.706055160066171e-07,1.2828702438127948e-06,1.0849367981791147e-06,1.1181007266714005e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.0113535608979873e-06,6.706055160066171e-07,7.149172915887902e-07
1.202634621222387e-06,6.706055160066171e-07,6.706055160066171e-07,7.213199069155962e-07,7.089928431014414e-07,7.247160169754352e-07,1.0199654525422375e-06,6.706055160066171e-07,6.706055160066171e-07,1.114026872528484e-06
1.1094439287262503e-06,6.706055160066171e-07,7.786055107317225e-07,1.0127439509233227e-06,6.706055160066171e-07,9.796617632673588e-07,9.889644161376054e-07,6.706055160066171e-07,7.441236675731489e-07,8.611817179371428e-07
1.252653646588442e-06,1.838030357248499e-06,8.264922257694707e-07,6.706055160066171e-07,1.3561633522840566e-06,6.706055160066171e-07,6.953489446459571e-07,6.706055160066171e-07,6.706055160066171e-07,7.402693427138729e-07
6.706055160066171e-07,1.4838785773463314e-06,6.706055160066171e-07,6.706055160066171e-07,1.1767164096454508e-06,1.4407175967789954e-06,6.706055160066171e-07,6.706055160066171e-07,8.149522159328626e-07,7.172702680691145e-07
1.251836806659412e-06,6.706055160066171e-07,1.557551172481908e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,8.186289051081985e-07,6.706055160066171e-07,1.136609171226155e-06,7.994520956344786e-07
1.913701453304384e-06,1.0108841479450348e-06,6.706055160066171e-07,7.639126238245808e-07,9.263146694138413e-07,6.706055160066171e-07,6.706055160066171e-07,7.472145853171241e-07,6.706055160066171e-07,1.2626379657376674e-06
7.39993254228466e-07,7.367883654296747e-07,6.706055160066171e-07,6.706055160066171e-07,7.357052709267009e-07,6.706055160066171e-07,7.691417636124243e-07,6.706055160066171e-07,6.706055160066171e-07,7.750367672088032e-07
6.706055160066171e-07,1.2418518053891603e-06,9.95656364466413e-07,6.706055160066171e-07,6.706055160066171e-07,1.21147240861319e-06,9.747335525389644e-07,8.918847242966876e-07,7.630973755112791e-07,6.706055160066171e-07
6.706055160066171e-07,7.407560360661591e-07,7.438288207595178e-07,8.254428962573002e-07,8.530183777111233e-07,7.154247896323795e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07
1.452798073842132e-06,6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,8.364261248061666e-07,6.706055160066171e-07,9.841514838626608e-07,1.0403979331385926e-06,8.49799221214198e-07,1.2107996099075535e-06
6.706055160066171e-07,6.706055160066171e-07,6.706055160066171e-07,1.0762967121991096e-06,9.471647786085668e-07,1.3923370261181844e-06,6.706055160066171e-07,9.623477126297075e-07,6.706055160066171e-07,7.75964281274355e-07
6.706055160066171e-07,6.706055160066171e-07,6.706579256388068e-07,6.706055160066171e-07,6.706055160066171e-07,6.986433618294541e-07,7.730862989774323e-07,6.706055160066171e-07,7.141354672057787e-07,7.702551556576509e-07
7.044601488814806e-07,6.706055160066171e-07,7.958968808452482e-07,6.971608854655642e-07,6.706055160066171e-07,7.331597089432762e-07,6.706055160066171e-07,7.516690061493136e-07,6.706055160066171e-07,6.706055160066171e-07
